Ticker,Mkt_Price,Total_Assets,Total_Liabilities,Shares_Outstanding,NAV,NAV_Source,Disc_Prem_Pct,Z_Score,NAV_Date,Price_Invalid,NAV_Stale,NAV_Missing,Timestamp
PDI,17.925,10486046000.0,3843403000.0,417753553.0,15.9009,calculated,12.7295,0.5325,,False,True,False,2026-03-03T17:15:27.993586+00:00
BST,39.4855,1388298427.0,13422067.0,34720019.0,39.599,calculated,-0.2866,0.8739,,False,True,False,2026-03-03T17:15:29.007363+00:00
UTF,26.88,3268681313.0,963152819.0,97877264.0,23.5553,calculated,14.1144,2.1024,,False,True,False,2026-03-03T17:15:29.995824+00:00
AWP,12.185,371824745.0,31444433.0,29939144.0,11.3691,calculated,7.1765,1.9884,,False,True,False,2026-03-03T17:15:30.774045+00:00
ECC,4.095,1505444143.0,568576384.0,130832939.0,7.1608,calculated,-42.8137,-2.9491,,False,True,False,2026-03-03T17:15:31.525195+00:00
GOF,11.805,2528006120.0,519190290.0,201845525.0,9.9522,calculated,18.617,-1.588,,False,True,False,2026-03-03T17:15:32.409340+00:00
PTY,12.5099,2648702000.0,401926000.0,191595000.0,11.7267,calculated,6.6788,-1.1119,,False,True,False,2026-03-03T17:15:33.604459+00:00
RQI,13.15,2441345457.0,717111414.0,134431441.0,12.8261,calculated,2.5253,2.898,,False,True,False,2026-03-03T17:15:34.443197+00:00
EVN,10.9301,640451705.0,207344246.0,39906847.0,10.853,calculated,0.7104,1.1887,,False,True,False,2026-03-03T17:15:35.489957+00:00
HYT,8.675,1906490295.0,420897292.0,163047980.0,9.1114,calculated,-4.7896,-1.0905,,False,True,False,2026-03-03T17:15:36.441774+00:00
